label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,3t_Fo_Ratio
1,2078324,100,76742,0,23,14,1,0,1,1,4.81E-05,0.036924945
1,33099,115,50662,0,1,1,1,0,0,1,0.003474425,1.53062026
1,1591,1266,90000,1,2,0,1,0,0,0,0.795725959,56.5681961
1,1548,1713,67588,1,1,0,1,0,0,1,1.106589147,43.66149871
1,10149,247,76633,0,2,1,1,0,0,1,0.024337373,7.550793182
1,3112,141,3778,1,0,0,1,0,0,1,0.045308483,1.214010283
1,22129,831,109642,0,0,0,1,0,1,1,0.037552533,4.954674861
1,8002,219,27676,0,0,0,1,0,0,1,0.027368158,3.458635341
1,1372091,151,101888,0,8,7,1,0,0,1,0.000110051,0.074257465
1,227969,31,75402,0,3,1,1,0,0,0,0.000135983,0.330755497
1,3112,141,3778,0,0,0,1,0,0,1,0.045308483,1.214010283
1,10149,247,76633,1,0,0,1,0,0,1,0.024337373,7.550793182
1,6084,2054,211829,2,27,0,1,0,0,1,0.337606838,34.81738988
1,11071,5442,103355,2,27,0,1,0,0,1,0.491554512,9.335651703
1,2105,37,26750,1,3,0,1,0,0,0,0.017577197,12.70783848
1,8002,219,27676,0,1,0,1,0,0,1,0.027368158,3.458635341
1,22129,831,109642,0,1,0,1,0,1,1,0.037552533,4.954674861
1,1620,905,28599,2,27,0,1,0,0,0,0.558641975,17.6537037
1,4012193,469,173286,2,27,0,1,0,1,1,0.000116894,0.043189847
1,1355015,563,298794,0,5,1,1,0,1,1,0.000415494,0.220509736
1,1772,1200,30273,1,6,0,1,0,0,1,0.677200903,17.08408578
1,1076,197,34234,1,6,0,1,0,0,0,0.183085502,31.81598513
1,1355015,563,298794,0,4,3,1,0,1,1,0.000415494,0.220509736
1,5899,596,23415,1,3,2,1,1,0,1,0.101034074,3.969316833
2,1546,1983,74649,1,14,0,1,1,0,1,1.282664942,48.28525226
2,5218,1687,48217,1,14,0,1,1,0,1,0.323303948,9.240513607
2,9319,5067,133435,1,14,0,1,1,0,1,0.543727868,14.31859642
2,11598,11651,26220,1,14,0,1,1,0,1,1.004569753,2.260734609
2,6084,2054,211829,1,14,0,1,1,0,1,0.337606838,34.81738988
1,1523,1228,29696,1,3,0,2,0,0,0,0.806303349,19.4983585
1,1306,379,6575,0,3,0,2,0,0,1,0.290199081,5.034456355
2,611970,30,139975,0,14,5,1,1,1,0,4.90E-05,0.228728532
2,2335,2112,47063,0,1,1,1,1,0,1,0.904496788,20.15546039
1,2774,208,8926,0,1,0,1,1,0,1,0.074981975,3.217736121
2,1378,1566,25630,1,9,0,1,1,0,1,1.136429608,18.59941945
2,1545,190,130797,1,9,0,1,1,0,1,0.122977346,84.65825243
2,31132,368,20783,0,9,2,1,1,1,1,0.011820635,0.66757677
2,3362,554,58350,1,4,0,1,1,0,1,0.164782867,17.35574063
2,31132,368,20783,0,4,0,1,1,1,1,0.011820635,0.66757677
2,227969,31,75402,0,2,2,1,1,0,0,0.000135983,0.330755497
2,1372092,151,101888,0,6,7,1,1,0,1,0.000110051,0.074257411
2,6274,80,1910,0,1,0,1,1,0,1,0.012751036,0.304430985
1,1108,2000,17774,1,226,0,1,0,0,1,1.805054152,16.04151625
2,2510,589,100611,0,0,0,1,1,0,1,0.234661355,40.08406375
2,2510,589,100611,0,0,0,1,1,0,1,0.234661355,40.08406375
2,8287,508,19009,1,0,0,1,1,0,1,0.061300833,2.293833715
2,2232,1897,15172,0,0,0,2,1,0,1,0.849910394,6.797491039
2,58242,25,86460,0,5,3,1,1,0,1,0.000429244,1.484495725
2,10930,465,780,2,404,0,1,1,0,1,0.042543458,0.07136322
0,1551,1861,9143,0,3,3,1,0,0,1,1.199871051,5.894906512
2,1032,121,3891,1,2,0,2,1,0,1,0.117248062,3.770348837
2,227969,31,75402,0,2,0,2,1,0,0,0.000135983,0.330755497
2,1372092,151,101888,0,4,5,2,1,0,1,0.000110051,0.074257411
2,6274,80,1910,0,0,1,2,1,0,1,0.012751036,0.304430985
2,1153,664,136391,1,42,0,1,1,0,0,0.575888985,118.292281
2,6274,80,1910,0,0,0,2,1,0,1,0.012751036,0.304430985
2,227969,31,75402,0,1,0,2,1,0,0,0.000135983,0.330755497
2,1372092,151,101888,0,0,2,2,1,0,1,0.000110051,0.074257411
1,1241,689,26617,1,4,0,1,1,0,0,0.555197421,21.44802579
